DAFS,Hour,Hydro,cas.count,minutes.observed,fish.prox,hydro.type,hour.of.period
-3,16,H4,7,12,0,ST,31
-3,17,H4,4,10,0,ST,32
-3,18,H4,9,11,0,ST,33
-3,19,H4,14,12,0,ST,34
-3,20,H4,7,12,0,ST,35
-3,21,H4,3,12,0,ST,36
-3,22,H4,3,12,0,ST,37
-3,23,H4,2,12,0,ST,38
-2,0,H4,4,12,0,ST,39
-2,1,H4,0,12,0,ST,40
-2,2,H4,2,12,0,ST,41
-2,3,H4,1,12,0,ST,42
-2,4,H4,7,12,0,ST,43
-2,5,H4,12,12,0,ST,44
-2,6,H4,6,12,0,ST,45
-2,7,H4,8,12,0,ST,46
-2,8,H4,6,12,1,ST,47
-2,9,H4,2,11,1,ST,48
-2,10,H4,1,12,1,ST,49
-2,11,H4,2,12,1,ST,50
-2,12,H4,2,12,1,ST,51
-2,13,H4,1,10,1,ST,52
-2,14,H4,5,12,1,ST,53
-2,15,H4,4,12,1,ST,54
-2,16,H4,11,12,1,ST,55
-2,17,H4,3,8,1,ST,56
-2,18,H4,8,10,1,ST,57
-2,19,H4,25,12,1,ST,58
-2,20,H4,20,12,1,ST,59
-2,21,H4,17,12,1,ST,60
-2,22,H4,9,12,1,ST,61
-2,23,H4,8,12,1,ST,62
-1,0,H4,4,12,1,ST,63
-1,1,H4,9,12,1,ST,64
-1,2,H4,4,12,1,ST,65
-1,3,H4,0,12,1,ST,66
-1,4,H4,1,12,1,ST,67
-1,5,H4,7,12,1,ST,68
-1,6,H4,24,12,1,ST,69
-1,7,H4,39,12,1,ST,70
-1,8,H4,19,12,1,ST,71
-1,9,H4,4,5,1,ST,72
-1,10,H4,1,2,1,ST,73
-1,11,H4,4,9,1,ST,74
-1,12,H4,5,12,1,ST,75
-1,13,H4,2,10,1,ST,76
-1,14,H4,5,11,2,ST,77
-1,15,H4,6,11,2,ST,78
-1,16,H4,9,12,2,ST,79
-1,17,H4,4,12,2,ST,80
-1,18,H4,16,8,2,ST,81
-1,19,H4,36,12,2,ST,82
-1,20,H4,15,12,2,ST,83
-1,21,H4,8,11,2,ST,84
-1,22,H4,15,12,2,ST,85
-1,23,H4,18,12,2,ST,86
0,0,H4,8,12,2,ST,87
0,1,H4,14,12,2,ST,88
0,2,H4,9,12,2,ST,89
0,3,H4,9,12,2,ST,90
0,4,H4,13,12,2,ST,91
0,5,H4,14,12,2,ST,92
0,6,H4,30,12,1,ST,93
0,7,H4,12,12,1,ST,94
0,8,H4,9,12,1,ST,95
0,9,H4,28,12,1,ST,96
0,10,H4,9,9,1,ST,97
0,11,H4,11,10,1,ST,98
0,12,H4,8,12,1,ST,99
0,13,H4,12,12,1,ST,100
0,14,H4,14,12,1,ST,101
0,15,H4,18,12,1,ST,102
0,16,H4,14,12,0,ST,103
0,17,H4,18,12,0,ST,104
0,18,H4,6,12,0,ST,105
0,19,H4,28,12,0,ST,106
0,20,H4,38,12,0,ST,107
0,21,H4,34,12,0,ST,108
0,22,H4,29,12,0,ST,109
0,23,H4,22,12,0,ST,110
1,0,H4,16,12,0,ST,111
1,1,H4,10,12,0,ST,112
1,2,H4,17,12,0,ST,113
1,3,H4,20,12,0,ST,114
1,4,H4,15,12,0,ST,115
1,5,H4,5,12,0,ST,116
1,6,H4,20,12,0,ST,117
1,7,H4,11,12,0,ST,118
1,8,H4,18,12,0,ST,119
1,9,H4,14,12,0,ST,120
1,10,H4,34,12,0,ST,121
1,11,H4,16,12,0,ST,122
1,12,H4,11,12,1,ST,123
1,13,H4,18,11,1,ST,124
1,14,H4,24,12,1,ST,125
1,15,H4,28,12,1,ST,126
1,16,H4,40,12,1,ST,127
1,17,H4,13,9,1,ST,128
1,18,H4,14,12,1,ST,129
1,19,H4,65,12,1,ST,130
1,20,H4,49,12,1,ST,131
1,21,H4,43,12,1,ST,132
1,22,H4,38,12,1,ST,133
1,23,H4,17,12,1,ST,134
2,0,H4,20,12,1,ST,135
2,1,H4,17,12,1,ST,136
2,2,H4,13,12,1,ST,137
2,3,H4,23,12,1,ST,138
2,4,H4,8,12,1,ST,139
2,5,H4,14,12,1,ST,140
2,6,H4,15,12,1,ST,141
2,7,H4,14,12,1,ST,142
2,8,H4,7,12,1,ST,143
2,9,H4,17,12,1,ST,144
2,10,H4,5,12,1,ST,145
2,11,H4,6,12,1,ST,146
2,12,H4,5,12,1,ST,147
2,13,H4,12,12,1,ST,148
2,14,H4,22,11,1,ST,149
2,15,H4,19,12,1,ST,150
2,16,H4,25,12,1,ST,151
2,17,H4,20,12,2,ST,152
2,18,H4,23,12,2,ST,153
2,19,H4,59,12,2,ST,154
2,20,H4,54,12,2,ST,155
2,21,H4,24,12,2,ST,156
2,22,H4,11,12,2,ST,157
2,23,H4,9,12,2,ST,158
-4,10,H5,13,40,0,LARS,1
-4,11,H5,3,20,0,LARS,2
-4,12,H5,16,56,0,LARS,3
-4,13,H5,22,60,0,LARS,4
-4,14,H5,3,34,0,LARS,5
-4,15,H5,5,21,0,LARS,6
-4,16,H5,29,60,0,LARS,7
-4,17,H5,42,60,0,LARS,8
-4,18,H5,130,59,0,LARS,9
-4,19,H5,89,60,0,LARS,10
-4,20,H5,58,60,0,LARS,11
-4,21,H5,21,60,0,LARS,12
-4,22,H5,16,60,0,LARS,13
-4,23,H5,22,59,0,LARS,14
-3,0,H5,21,60,0,LARS,15
-3,1,H5,7,60,0,LARS,16
-3,2,H5,12,60,0,LARS,17
-3,3,H5,26,59,0,LARS,18
-3,4,H5,51,60,0,LARS,19
-3,5,H5,54,60,0,LARS,20
-3,6,H5,32,59,0,LARS,21
-3,7,H5,106,60,0,LARS,22
-3,8,H5,20,28,0,LARS,23
-3,9,H5,19,26,0,LARS,24
-3,10,H5,9,30,0,LARS,25
-3,11,H5,25,60,0,LARS,26
-3,12,H5,28,59,0,LARS,27
-3,13,H5,8,35,0,LARS,28
-3,14,H5,4,24,0,LARS,29
-3,15,H5,17,60,0,LARS,30
-3,16,H5,23,60,0,LARS,31
-3,17,H5,7,7,0,LARS,32
-3,18,H5,154,48,0,LARS,33
-3,19,H5,187,59,0,LARS,34
-3,20,H5,92,60,0,LARS,35
-3,21,H5,42,59,0,LARS,36
-3,22,H5,39,59,0,LARS,37
-3,23,H5,30,60,0,LARS,38
-2,0,H5,42,59,0,LARS,39
-2,1,H5,27,60,0,LARS,40
-2,2,H5,24,59,0,LARS,41
-2,3,H5,20,60,0,LARS,42
-2,4,H5,39,59,0,LARS,43
-2,5,H5,75,59,0,LARS,44
-2,6,H5,69,60,0,LARS,45
-2,7,H5,67,59,0,LARS,46
-2,8,H5,38,60,0,LARS,47
-2,9,H5,19,30,0,LARS,48
-2,10,H5,19,28,0,LARS,49
-2,11,H5,47,60,0,LARS,50
-2,12,H5,28,59,0,LARS,51
-2,13,H5,7,24,0,LARS,52
-2,14,H5,26,35,0,LARS,53
-2,15,H5,27,60,0,LARS,54
-2,16,H5,59,59,0,LARS,55
-2,17,H5,10,2,0,LARS,56
-2,18,H5,168,43,0,LARS,57
-2,19,H5,316,59,0,LARS,58
-2,20,H5,186,59,0,LARS,59
-2,21,H5,161,59,0,LARS,60
-2,22,H5,95,59,0,LARS,61
-2,23,H5,75,59,0,LARS,62
-1,0,H5,71,60,0,LARS,63
-1,1,H5,51,59,0,LARS,64
-1,2,H5,13,59,0,LARS,65
-1,3,H5,21,59,0,LARS,66
-1,4,H5,24,59,0,LARS,67
-1,5,H5,56,59,0,LARS,68
-1,6,H5,135,59,0,LARS,69
-1,7,H5,171,59,0,LARS,70
-1,8,H5,54,30,0,LARS,71
-1,9,H5,0,1,0,LARS,72
-1,10,H5,9,12,0,LARS,73
-1,11,H5,15,25,0,LARS,74
-1,12,H5,33,59,0,LARS,75
-1,13,H5,18,21,0,LARS,76
-1,14,H5,10,38,0,LARS,77
-1,15,H5,17,54,1,LARS,78
-1,16,H5,20,53,1,LARS,79
-1,17,H5,3,1,1,LARS,80
-1,18,H5,54,20,1,LARS,81
