"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"Rho_d[4,5]",-0.264933902254114,0.0824614613060743,-0.429775793899922,-0.0969558358480653,755.887829233313,1.00365614696902
"Rho_d[5,1]",-0.556489291526341,0.0833939255098105,-0.712381090506912,-0.378051903985094,187.622975359782,1.01059281219646
"Rho_d[5,2]",-0.197511773337594,0.102008653816339,-0.38289501945681,0.00571444427973907,403.330694493408,0.998533704577457
"Rho_d[5,3]",0.128061288117906,0.0906889066191296,-0.0504219310760898,0.299715560253967,816.271689416983,0.999433139998338
"Rho_d[5,4]",-0.264933902254114,0.0824614613060743,-0.429775793899922,-0.0969558358480653,755.887829233313,1.00365614696902
"Rho_d[5,5]",1,4.48840932077447e-17,1,1,1481.17068618948,0.997997995989972
"sigma_d",1.1611475869276,0.0505099557182261,1.0613277430444,1.26542209380393,401.940464148111,1.00071561167398
"bt[1]",-0.176050460746608,0.255454694818546,-0.668129396838882,0.327084704538417,305.384004026859,1.00898323107741
"bt[2]",-0.218566596275128,0.25154384786661,-0.682111784583908,0.278307534856899,354.712607962767,1.01783825976967
"bt[3]",-0.386543223794241,0.252396104023403,-0.898129920364161,0.0899832913430596,322.793055551696,1.01167975513389
"bt[4]",-0.263540108874646,0.250673383054157,-0.753688055907596,0.213039014192147,344.202145670467,1.01025472203895
"bt[5]",-0.00922647671748782,0.241436842735669,-0.457550754167657,0.47318195923678,344.364356831632,1.01043243938012
"bt[6]",0.116758846622671,0.249648835539704,-0.347896584947287,0.602948411381046,267.526142662465,1.01008069988
"bt[7]",0.41891395166272,0.25881482263046,-0.084206727661997,0.947680769231542,212.666700495152,1.00843277736777
"bt[8]",0.897879584011626,0.238673617382844,0.437231477563321,1.3574322305509,302.515772626274,1.01391411890494
"bt[9]",0.685913535403335,0.240548415472763,0.205594862638494,1.1461848977428,307.218313931356,1.02255848967605
"bt[10]",0.588695295367119,0.243588200787028,0.104964070536588,1.05801554922665,292.746048223336,1.0114880121032
"bt[11]",0.278601347799202,0.25504369316963,-0.213816429678376,0.765304694722268,289.110431731651,1.01197728858738
"bt[12]",0.219290860428763,0.245831536166589,-0.264903288185186,0.69225211813147,305.715464680824,1.0162138926267
"bt[13]",-0.194967326175366,0.255858194742749,-0.706485995717452,0.321056148437016,324.506371113585,1.01190106919309
"bt[14]",-0.348112763311438,0.256187022378646,-0.875109082114764,0.152947353099739,334.808242781158,1.02028314860331
"bt[15]",-0.0700543091012745,0.240100267221975,-0.531457574018247,0.401076063176244,406.37105462057,1.00969935321106
"bt[16]",0.326158638124079,0.25098979080619,-0.162735327040713,0.839458907431193,300.966722839486,1.01689370129613
"bt[17]",0.282434999255715,0.247481022409226,-0.205651085520904,0.751417054688788,264.933525346892,1.01472047838196
"bt[18]",0.69290971162676,0.250133011398124,0.218003276289608,1.18726778979695,248.6926883559,1.01589619366677
"bt[19]",0.622173677915281,0.253093547601096,0.114218929263595,1.14000450243494,291.078864062702,1.00980095090624
"bt[20]",1.11443784135552,0.240258314827153,0.645480302635904,1.59744280864948,305.918992305092,1.0163560328788
"bt[21]",0.690546714733964,0.246794054692485,0.19296402456929,1.15547902808409,237.074785836441,1.00927985547433
"bt[22]",0.154517520967953,0.247417939198726,-0.33919206205852,0.637656812769679,270.48903368044,1.00952363912874
"bt[23]",-0.0954048910840407,0.250940560699641,-0.599712674866819,0.406719862262784,239.392252484394,1.0167513557116
"bt[24]",-0.0672079998803233,0.247722593555282,-0.558544082214958,0.422866876634069,295.298499669433,1.01870500819372
"bd[1]",-0.200509579697549,0.3680769956923,-0.963339902229991,0.489605777950859,259.174455979694,1.00236606365275
"bd[2]",0.279123774538436,0.347022266952339,-0.425524446931347,0.917374586545344,248.757942447787,1.00492593807204
"bd[3]",0.579939641678605,0.360311760067437,-0.141803217755426,1.25136678496488,246.539422050987,1.00429711526497
"bd[4]",0.679259749362406,0.351398523814672,-0.0601511052959346,1.33615793113227,246.812946689282,1.00858870109409
"bd[5]",1.54088277249027,0.343253161152909,0.854537503826078,2.17886318457602,230.804184375712,1.00627870954175
"bd[6]",1.46042635410159,0.351548364456397,0.75185528564013,2.12496295988959,239.021951684299,1.00253103289243
"bd[7]",1.34437793287624,0.349471424078641,0.640589627464445,2.01122931830954,240.404984178793,1.00478041693005
"fp[1]",1.65918735736133,0.376660649269607,0.951285747943057,2.41158415966327,233.302326410414,1.00900539111804
"fp[2]",1.98770808473098,0.375924178812775,1.28864757777978,2.73961625809984,244.020166346739,1.00836953136812
"fp[3]",2.15682323753277,0.374493093482824,1.45062196693523,2.9057194116771,245.26437829052,1.00838493758171
